Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,"9,224.37",Afghanistan,"1,528.18",,Afghanistan,500,26,11.00%,,,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Burkina Faso,AFR,"18,110,624.00",Sub-Saharan Africa,A,"188,047.49","134,589.20","53,458.29",97.14,97.14,97.14,"52,304.00","95,098",55.00%,"49,955","87,398",57.16%,"2,349.00","7,700.00",31%,"92,000","24,000","52,585.30","7,440.00",577.01,36.29,239.96,1.03,5.29,385.23,131.04,62.55,254.1,440.49,7.06,2140.06,,Georgia,,,,,,,AZT + ABC + 3TC + LPV/r,0.0000,0.7785,0.0100,0.8340,4,0.00,0.00,,,,,,,,,,,Cape Verde,"4,797.90",Caribbean,"56,044.07",,Chile,,144,,,,79,95,77,2015,,Canada,High-income country,No data,,,576.6959840200699,36.18843420731789,239.59464135154784,1.034827734802462,5.294201905743316,385.26304099330025,131.05387715709543,62.47535515868442,253.8368842963484,432.509718475279,7.068531892003643,2131.0154971921925
Burundi,AFR,"10,199,270.00",Sub-Saharan Africa,A,"215,208.10","156,313.80","58,894.30",90.00,90.00,93.00,"42,169.00","78,091",54.00%,"39,515","68,991",57.28%,"2,654.00","9,100.00",29%,"72,000","19,000","41,238.58","5,510.00",2295.02,131.43,943.38,3.73,19.07,1557.47,533.36,243.0,1002.38,1790.82,28.75,8548.4,,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean,"518,067.10",Central African Republic,"61,045.54",,China,,,,,,59,,59,2015,,Central African Republic,24 [21-27],28 303,24.00%,"28,303.00",2293.9995480757334,131.06836490356565,942.1099461701345,3.7287594329340172,19.070988596641108,1557.6679472588328,533.4190758644088,242.73486066134623,1001.4720476090331,1758.4407716145063,28.764910716521207,8512.477220903658
Cambodia,WPR,"15,517,635.00","East, South and South-East Asia",A,"126,973.45","117,498.30","9,475.15",79.00,78.00,84.00,"54,929.00","74,228",74.00%,"54,929","74,228",74.00%,,,,"74,000","1,228","54,760.00",0.00,3983.28,14.9,1457.17,0.0,0.0,3121.97,1118.96,316.2,1605.41,3736.78,58.66,15413.33,,Guinea,,,,,,Priority,Determination,,Key,,,,,,,,,,,,,,,,Central African Republic,"379,740.60",Central Asia,"2,821.52",,Colombia,"1,400",,,,,94,,,2015,,Chad,36 [29-46],59 622,36.00%,"59,622.00",3983.6548258435487,14.909380884111105,1457.2464821128633,0.0,0.0,3122.1219884507905,1119.0006858722957,316.37543235281527,1605.4610531548471,3670.3852628116356,58.69703775739058,15347.8521492403
Cameroon,AFR,"22,834,522.00",Sub-Saharan Africa,A,"1,816,622.70","1,534,503.00","282,119.70",60.00,97.14,97.14,"168,249.00","623,144",27.00%,"161,153","584,144",27.59%,"7,096.00","39,000.00",18%,"530,000","60,000","146,215.70","10,800.00",38770.32,1603.06,15553.8,44.31,226.35,27271.74,9613.16,3946.17,16660.73,32035.35,543.11,146268.09,,Guinea-Bissau,,,,,,#1,Original Data Point(s),is original,Blue,,,,,,,,,,,,,,,,Central Asia,"88,409.82",Central Europe,"1,444.03",,Comoros,,,,,,83,,,2015,,Chile,87 [59->95],28 082,87.00%,"28,082.00",38760.15663308866,1598.7580261492426,15539.282365019535,44.32840877622884,226.36665574297186,27275.12623132609,9614.303544390143,3943.6825498539247,16650.49234533459,31423.48084213286,543.4526919141117,145619.43029372836
Canada,AMR,"35,848,610.00",,B,"16,383.16","16,082.53",300.63,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,"120,586",191,"43,858.95",0.00,34.2,0.14,12.72,0.0,0.0,26.46,9.63,2.87,13.97,31.95,0.54,132.47,,India,,,,,,#2,Average of all data points for that regimen,"is specific to that regimen, but not quadrant",Pink,,,,,,,,,,,,,,,,Central Europe,"19,248.96","Central Europe, Eastern Europe, and Central Asia","48,320.00",,Congo,,,,,,84,75,84,2015,,China,No data,No data,,,34.201334411487174,0.1365230082935959,12.719664294575308,0.0,0.0,26.45932943670906,9.631187261258233,2.8706366226767166,13.965538663753348,31.34109737520335,0.5370169496062838,131.86232802356307
Cape Verde,AFR,"532,913.00",Sub-Saharan Africa,A,"5,084.10","4,797.90",286.20,96.00,96.00,97.00,,,36.37%,,,35.84%,,,,"1,000",360,358.35,0.00,14.05,0.06,5.23,0.0,0.0,10.87,3.96,1.18,5.74,13.12,0.22,54.41,,Indonesia,,,,,,#3,"Average of all original data points of that quadrant. An example of a quadrant is ""second-line adults"" or ""first-line children""",is average of listed drugs in second or first line regimen,Cyan,,,,,,,,,,,,,,,,"Central Europe, Eastern Europe, and Central Asia","1,470,441.00",Central Latin America,"38,369.06",,Cook Islands,,,,,,97,100,97,2015,,Colombia,No data,No data,,,14.050120598976202,0.05613297013548335,5.2264208104031775,0.0,0.0,10.867752770927455,3.9566335719493866,1.1801437518476952,5.738059767321863,12.874174122252398,0.22079788082857352,54.17023624464223
Cayman Islands,AMR,"59,963.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Iran,,,,,,,,,,,,,,,,,,,,,,,,,Central Latin America,"573,581.00",Central Sub-Saharan Africa,"854,564.90",,Costa Rica,200,65,53.00%,,,57,,57,2015,,Comoros,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,AFR,"4,546,100.00",Sub-Saharan Africa,A,"440,786.14","379,740.60","61,045.54",97.14,97.14,97.14,"28,303.00","117,929",24.00%,"25,900","108,529",23.86%,"2,403.00","9,400.00",25%,"190,690","3,069","45,507.38",767.36,620.38,33.75,255.79,0.95,4.87,420.49,146.28,66.92,271.76,488.39,8.31,2317.88,,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,Central Sub-Saharan Africa,"2,642,656.00",Chad,"131,695.40",,Cote d'Ivoire,"29,000","6,945",24.00%,,,89,86,89,2015,,Congo,No data,No data,,,619.9771135026537,33.65313897650696,255.4148557742382,0.9527715007355165,4.870242817031661,420.42873970781517,146.25383129444506,66.8386747824977,271.4719152934458,478.8923704097658,8.31467962778731,2307.068333686923
Chad,AFR,"14,009,413.00",Sub-Saharan Africa,A,"513,923.70","382,228.30","131,695.40",97.14,97.14,97.14,"59,622.00","165,617",36.00%,"55,784","147,617",37.79%,"3,838.00","18,000.00",22%,"180,000","34,000","68,021.59","7,480.00",1037.43,63.3,430.89,1.81,9.24,693.9,238.37,113.73,456.47,798.43,13.25,3856.83,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,Chad,"382,228.30",Chile,684.72,,Croatia,,3,,,,78,87,78,2015,,Cook Islands,No data,No data,,,1036.8562339203343,63.12039572720476,430.2495100504035,1.808588890068247,9.240950884255316,693.9405461342488,238.38200291282334,113.5933768505787,456.0045648479925,783.4442619307574,13.262122093490921,3839.902554242158
Chile,AMR,"17,762,681.00",Latin America and the Caribbean,B,"21,904.02","21,219.30",684.72,97.00,97.00,97.14,"28,082.00","32,278",87.00%,"27,938","32,278",86.55%,144.00,,,"36,000","1,358","31,159.40",0.00,123.02,0.45,44.72,0.0,0.0,96.86,34.51,9.57,49.32,115.57,1.77,475.8,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,Chile,"21,219.30",China,"117,566.90",,Cuba,100,29,95.00%,,,83,80,83,2015,,Costa Rica,56 [50-62],5 623,56.00%,"5,623.00",123.02110227052599,0.4499608791313977,44.72004808246375,0.0,0.0,96.85775355786933,34.50912185389395,9.57758873930731,49.322911432076616,113.5644627495255,1.771970395166686,473.79491995996057
China,WPR,"1,371,220,000.00","East, South and South-East Asia",A,"1,911,023.90","1,793,457.00","117,566.90",87.00,87.00,89.00,,,25.18%,,,25.18%,,,,"703,479","7,238","177,139.25",0.00,11785.55,47.88,4402.36,0.0,0.0,9084.85,3320.23,1004.0,4828.64,10997.43,188.28,45659.22,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,China,"1,793,457.00",Colombia,"6,073.54",,Cyprus,,,,,,80,80,80,2015,,Croatia,High-income country,924,,924.00,11786.39706291771,47.902963199978075,4402.516679528924,0.0,0.0,9085.072801148619,3320.2899445425055,1004.5369493786367,4828.697861733711,10784.206538930981,188.37939519924572,45448.00019658032
"China, Hong Kong SAR",WPR,"7,305,700.00",,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,"111,581.60",Comoros,135.29,,Czech Republic,,,,,,60,100,60,2015,,Cuba,69 [59-75],15 083,69.00%,"15,083.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"China, Macao SAR",WPR,"600,942.00",,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,877.15,Congo,"68,989.94",,Democratic People's Republic of Korea,,,,,,73,,73,2015,,Cyprus,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,AMR,"48,228,697.00",Latin America and the Caribbean,B,"117,655.14","111,581.60","6,073.54",68.00,68.00,66.00,,,100.00%,,,100.00%,,"1,400.00",,"140,000","3,686","140,000.00",0.00,8179.98,29.15,2952.23,0.0,0.0,6473.2,2290.53,622.53,3259.94,7697.88,114.83,31620.27,,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,Congo,"203,664.30",Costa Rica,460.28,,Democratic Republic of the Congo,"42,000","9,185",22.00%,,,75,91,74,2015,,Czechia,High-income country,No data,,,8180.746492415783,29.166340604473543,2952.3846691524755,0.0,0.0,6473.546679578821,2290.619837270887,622.8816360418408,3260.043870198226,7567.90987201107,114.89414386778252,31492.19354114136
Comoros,AFR,"777,424.00",Sub-Saharan Africa,A,"1,012.44",877.15,135.29,97.14,97.14,97.14,,,35.84%,,,35.84%,,,,"32,610",525,"11,685.79",0.00,1.84,0.01,0.68,0.0,0.0,1.42,0.52,0.15,0.75,1.72,0.03,7.11,,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,Costa Rica,"6,931.14",Cote d'Ivoire,"266,722.70",,Denmark,,,,,,81,,,2015,,Democratic People's Republic of Korea,No data,No data,,,1.8365754283384936,0.00733747678137363,0.6831767721084809,0.0,0.0,1.420589066103628,0.5171952757267374,0.15426365925347382,0.7500561650530556,1.6828604200595234,0.028861813655074092,7.0809160770798405
Congo,AFR,"4,995,648.00",Sub-Saharan Africa,A,"272,654.24","203,664.30","68,989.94",97.14,97.14,97.14,,,35.84%,,,35.84%,,,,"63,000","14,000","22,576.21",0.00,426.33,1.7,158.6,0.0,0.0,329.78,120.07,35.79,174.13,398.26,6.7,1651.36,,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,Cote d'Ivoire,"978,347.40",Croatia,21.32,,Djibouti,1000,74,8.00%,,,89,100,86,2015,,Democratic Republic of the Congo,33 [26-40],122 268,33.00%,"122,268.00",426.43202304025493,1.7036790428600732,158.62591240692385,0.0,0.0,329.8446990088914,120.08688798289114,35.818275297608466,174.154550323451,390.7411382877829,6.701386393195127,1644.108551783859
Cook Islands,WPR,"18,800.00",Oceania,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,Croatia,276.07,Cuba,712.75,,Dominica,,,,,,76,89,74,2015,,Denmark,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,AMR,"4,807,852.00",Latin America and the Caribbean,B,"7,391.42","6,931.14",460.28,97.14,97.14,97.14,"5,623.00","10,041",56.00%,"5,558","9,841",56.48%,65.00,200.00,53%,"8,900",367,"5,026.51",194.75,25.39,0.61,9.8,0.02,0.08,18.78,6.66,2.3,10.63,22.23,0.36,96.85,,Libya,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,"15,270.30",Cyprus,0.87,,Dominican Republic,"2,100",809,39.00%,,,84,92,83,2015,,Djibouti,21 [15-29],1 945,21.00%,"1,945.00",25.388358774640388,0.6056675999891825,9.8000811662574,0.015245557292156282,0.07824201487065617,18.77792653784722,6.661242814150445,2.2959944975177873,10.629171668952987,21.825217781537894,0.35967904606114287,96.43682745911725
Cote d'Ivoire,AFR,"23,108,472.00",Sub-Saharan Africa,A,"1,245,070.10","978,347.40","266,722.70",76.00,97.14,97.14,,,36.37%,,,35.84%,"6,945.00","29,000.00",24%,"390,000","68,000","139,757.51","16,320.00",20739.84,1181.28,8560.51,33.52,171.38,14012.35,4839.96,2238.18,9088.26,16193.85,269.95,77329.09,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,Cyprus,159.06,Czech Republic,56.04,,Ecuador,500,670,95.00%,,,92,,92,2015,,Dominica,No data,No data,,,20731.69798673995,1178.010264246759,8549.463938722158,33.5347566266097,171.39388111617657,14014.893581801394,4840.82056883561,2235.9148099097574,9080.540136254489,15890.6735175423,270.1394768137869,76997.08291860898
Croatia,EUR,"4,203,604.00",Europe and Central Asia,A,297.40,276.07,21.32,93.00,93.00,97.14,924.00,,0.00%,921,,0.00%,3.00,,,"5,595",8,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,Czech Republic,648.46,Democratic Republic of the Congo,"547,783.60",,Egypt,500,73,27.00%,,,63,100,63,2015,,Dominican Republic,46 [36-63],31 321,46.00%,"31,321.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,AMR,"11,461,432.00",Latin America and the Caribbean,B,"15,983.05","15,270.30",712.75,96.00,96.00,97.14,"15,083.00","21,859",69.00%,"15,054","21,759",69.18%,29.00,100.00,95%,"4,300","1,705","2,974.90","1,619.51",98.76,2.41,38.33,0.06,0.31,72.84,25.68,8.76,41.54,85.94,1.36,375.99,,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo,"1,478,999.00",Denmark,26.84,,El Salvador,500,273,78.00%,,,80,,,2015,,Ecuador,54 [43-64],15 642,54.00%,"15,642.00",98.74590378682838,2.4038953877155755,38.307036248384705,0.05927573323948675,0.30605703216660574,72.84006056432189,25.683709864257743,8.759203849739531,41.52341914027331,84.39472911944529,1.3581370230669683,374.3814277494394
Curacao,AMR,"157,979.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,Denmark,"1,569.25",Djibouti,"3,597.96",,Equatorial Guinea,"2,400",245,10.00%,,,76,,,2015,,Egypt,19 [12-31],2 147,19.00%,"2,147.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,EUR,"1,160,985.00",Europe and Central Asia,A,159.93,159.06,0.87,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,Djibouti,"17,097.56",Dominica,11.58,,Eritrea,"1,400",470,35.00%,,,95,89,95,2015,,El Salvador,54 [50-60],10 803,54.00%,"10,803.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EUR,"10,546,059.00",Europe and Central Asia,A,704.50,648.46,56.04,97.14,97.14,97.14,,,36.37%,,,0.00%,,,,"14,037",19,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,289.41,Dominican Republic,"6,675.19",,Estonia,,,,,,100,,100,2015,,Equatorial Guinea,31 [29-34],8 509,31.00%,"8,509.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic People's Republic of Korea,SEA,"25,243,917.00","East, South and South-East Asia",A,0.00,0.00,0.00,97.14,97.14,97.14,,,25.18%,,,25.18%,,,,"12,635",133,"3,181.47",0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,Dominican Republic,"89,754.48",East Asia,"119,732.00",,Ethiopia,,"22,009",,,,88,,88,2015,,Eritrea,60 [47-76],8 431,60.00%,"8,431.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,AFR,"76,196,619.00",Sub-Saharan Africa,A,"2,026,782.60","1,478,999.00","547,783.60",86.00,97.14,97.14,"122,268.00","370,509",33.00%,"113,083","328,509",34.42%,"9,185.00","42,000.00",22%,"390,000","90,000","134,250.07","19,800.00",18412.17,1278.33,7773.0,36.81,188.14,12017.74,4090.62,2094.37,8193.82,13719.18,228.66,68032.84,,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,East Asia,"1,832,801.00",East Midlands,31.57,,Fiji,,4,,,,74,80,73,2015,,Estonia,High-income country,No data,,,18398.80852162004,1274.7136264434575,7759.302663908744,36.82479021149537,188.15557230067552,12017.236383312526,4090.3942696785984,2091.354599693357,8183.653141139725,13459.242169675752,228.77024230059766,67728.45598028497
Denmark,EUR,"5,683,483.00",Europe and Central Asia,A,"1,596.09","1,569.25",26.84,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"7,565",10,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,East Midlands,564.57,East of England,52.01,,Finland,,,,,,85,81,85,2015,,Ethiopia,No data,386 123,,"386,123.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,EMR,"927,414.00",,A,"20,695.52","17,097.56","3,597.96",86.00,86.00,67.00,"1,945.00","9,262",21.00%,"1,871","8,262",22.65%,74.00,"1,000.00",8%,"7,600","1,200","1,721.10",96.00,117.43,3.33,45.97,0.09,0.45,85.34,30.53,11.33,49.62,101.47,1.74,447.3,,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,East of England,813.91,Eastern Europe,"44,054.45",,France,,,,,,100,,,2015,,Fiji,No data,259,,259.00,117.42268954275075,3.3198648564436315,45.94267738288851,0.08790829721099386,0.44827568812406415,85.35820794748277,30.541394043051557,11.332667631570716,49.60961484621353,99.52255795285791,1.739533660973615,445.32539184956806
Dominica,AMR,"73,162.00",Latin America and the Caribbean,B,300.99,289.41,11.58,97.14,97.14,97.14,,,100.00%,,,100.00%,,,,,,,,1.9,0.01,0.68,0.0,0.0,1.5,0.53,0.14,0.76,1.78,0.03,7.33,,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Europe,"1,362,783.00",Eastern Sub-Saharan Africa,"5,590,274.00",,Gabon,"2,600","1,375",52.00%,,,95,,95,2015,,Finland,High-income country,No data,,,1.8963999634511723,0.0067611247100256575,0.6843999118986506,0.0,0.0,1.5006495676077953,0.5309944978380907,0.14439180005385233,0.7557191855321115,1.7543367244039196,0.02663390809550373,7.300286683591121
Dominican Republic,AMR,"10,528,394.00",Latin America and the Caribbean,B,"96,429.67","89,754.48","6,675.19",95.00,95.00,97.14,"31,321.00","68,089",46.00%,"30,512","65,989",46.24%,809.00,"2,100.00",39%,"45,000","1,566","20,807.06",610.73,462.25,11.22,178.91,0.28,1.46,340.88,121.39,42.46,193.88,404.46,6.66,1763.86,,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sub-Saharan Africa,"13,360,130.00",Ecuador,302.07,,Gambia,"1,800",438,24.00%,,,94,100,93,2015,,France,High-income country,No data,,,462.2124047745468,11.19272827801507,178.82338758608313,0.2842838649376588,1.456061624757367,340.9129111022461,121.39559516110039,42.458679085716206,193.81810109294724,396.9469677385456,6.663891877789389,1756.165012186685
Ecuador,AMR,"16,144,368.00",Latin America and the Caribbean,B,"37,273.01","36,970.94",302.07,97.14,97.14,97.14,"15,642.00","28,967",54.00%,"14,972","28,467",52.59%,670.00,500.00,95%,"48,000","1,234","25,245.53","1,172.17",119.06,1.08,44.62,0.02,0.09,91.28,32.87,10.02,48.86,109.41,1.79,459.1,,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,Ecuador,"36,970.94",Egypt,"1,936.48",,Georgia,100,53,95.00%,,,82,,,2015,,Gabon,58 [49-67],27 037,58.00%,"27,037.00",119.05331254375311,1.077803452833694,44.60996166999524,0.017961944340723963,0.09274249471791668,91.2794571763608,32.871465723596465,10.020233775270764,48.85446026525815,107.37566510449791,1.7861439561154124,457.0392081067402
Egypt,EMR,"93,778,172.00",Middle East and North Africa,A,"11,122.53","9,186.05","1,936.48",80.00,80.00,94.00,"2,147.00","11,300",19.00%,"2,074","10,800",19.20%,73.00,500.00,27%,"5,200","4,788",998.59,"1,292.84",94.49,7.88,41.14,0.23,1.17,58.88,19.77,11.45,43.0,66.38,1.13,345.5,,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,"9,186.05",El Salvador,828.41,,Germany,,,,,,66,64,66,2015,,Gambia,24 [20-30],5 022,24.00%,"5,022.00",94.39872141205748,7.8544129232386934,41.054950233970104,0.22827992124301494,1.1672208254237153,58.869093897993444,19.76399171383059,11.425526099479802,42.93365998190161,65.08291771195337,1.1316359450010853,343.91041066609296
El Salvador,AMR,"6,312,478.00",Latin America and the Caribbean,B,"25,209.13","24,380.72",828.41,83.00,83.00,63.00,"10,803.00","20,006",54.00%,"10,530","19,506",53.98%,273.00,500.00,78%,"24,000",482,"12,956.31",376.30,499.78,10.09,192.31,0.24,1.24,372.04,132.57,44.39,208.94,442.01,7.18,1910.79,,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,El Salvador,"24,380.72",England,628.49,,Ghana,"19,000","4,934",27.00%,,,85,90,85,2015,,Georgia,32 [25-40],3 044,32.00%,"3,044.00",499.6879077307561,10.071894125383613,192.22029864178276,0.24025413468294712,1.2374522407054007,372.0248261232254,132.56112402175305,44.38238922009645,208.86253191518227,433.8421527854484,7.186833677954654,1902.317664616971
Equatorial Guinea,AFR,"1,175,389.00",Sub-Saharan Africa,A,"45,351.99","35,612.91","9,739.08",97.14,97.14,97.14,"8,509.00","27,448",31.00%,"8,264","25,048",32.99%,245.00,"2,400.00",10%,"26,000","3,100","8,577.96",310.00,74.59,2.27,29.22,0.06,0.31,54.08,19.24,7.19,31.53,64.05,1.08,283.63,,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,England,"9,848.28",Equatorial Guinea,"9,739.08",,Greece,100,,,,,85,87,85,2015,,Germany,High-income country,No data,,,74.57016454758305,2.2659119671133916,29.20132909131987,0.06076753485187676,0.3099629569444409,54.083381500905574,19.240724087896528,7.187363890976224,31.514124810401054,62.826993801899086,1.0785131251886448,282.33923731507974
Eritrea,AFR,,Sub-Saharan Africa,A,"47,710.57","33,785.33","13,925.24",79.00,77.00,95.00,"8,431.00","14,052",60.00%,"7,961","12,652",62.92%,470.00,"1,400.00",35%,"16,000","3,600","10,067.92","1,260.00",1196.84,78.34,500.14,2.23,11.44,793.69,268.49,130.36,528.88,903.92,14.34,4428.67,,Niger,,,,,,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,"35,612.91",Eritrea,"13,925.24",,Grenada,,2,,,,98,,,2015,,Ghana,34 [29-41],94 047,34.00%,"94,047.00",1196.0489465127334,78.12400519907796,499.31273368126597,2.2350108797486006,11.44088161985153,793.6642888860665,268.47584107490354,130.17633179913068,528.2702568467878,887.6284397026893,14.344658751344209,4409.7213949536
Estonia,EUR,"1,315,407.00",Europe and Central Asia,A,"1,867.79","1,846.89",20.90,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"1,751",2,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,Eritrea,"33,785.33",Estonia,20.90,,Guatemala,"2,000",856,44.00%,,,79,100,78,2015,,Greece,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,AFR,"99,873,033.00",Sub-Saharan Africa,A,"1,639,891.30","1,227,515.00","412,376.30",97.14,97.14,97.14,"386,123.00","1,077,495",35.84%,"364,114","1,077,495",33.79%,"22,009.00",,,"64,000","190,000","21,627.30",0.00,2415.01,9.68,899.11,0.0,0.0,1866.83,680.18,203.33,986.96,2255.52,38.06,9354.67,,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,Estonia,"1,846.89",Ethiopia,"412,376.30",,Guinea,"7,000","1,532",22.00%,,,67,71,67,2015,,Grenada,No data,No data,,,2415.0303251785554,9.680707101750484,899.0823345343216,0.0,0.0,1866.761357224997,680.1453606203634,203.42741527908828,986.9098370041035,2212.2753669272324,38.07707629072952,9311.38978016114
Fiji,WPR,"892,149.00",Oceania,A,"1,165.81","1,054.25",111.56,59.00,59.00,97.14,259.00,712,36.37%,255,712,35.81%,4.00,,,"1,000",,358.10,,31.61,0.13,11.76,0.0,0.0,24.45,8.9,2.65,12.91,29.53,0.5,122.45,,Palau,,,,,,,,,,,,,,,,,,,,,,,,,Ethiopia,"1,227,515.00",Federated States of Micronesia,33.57,,Guinea-Bissau,,,,,,66,67,66,2015,,Guatemala,30 [21-44],16 315,30.00%,"16,315.00",31.616314755198193,0.12631951175515388,11.760905321066863,0.0,0.0,24.4549421927321,8.903433743394606,2.655731636675275,12.912199814804184,28.97001853517953,0.49687485438123413,121.89674036518713
